Student_Id,Name,Attendance,Internal_marks,Backlogs,CGPA
101,Arun,85,78,0,8.2
102,Priya,90,85,0,8.8
103,Karthik,75,65,2,6.5
104,Divya,60,50,4,5.2
105,Rahul,95,90,0,9.1
106,Sneha,80,72,1,7.4
107,Vijay,70,60,3,6.0
108,Anitha,88,80,0,8.5
109,Surya,92,88,0,9.0
110,Meena,65,55,5,5.0
111,Ajay,78,70,2,6.8
112,Keerthi,82,75,1,7.5
113,Ramesh,68,58,4,5.8
114,Nisha,74,64,3,6.2
115,Varun,91,92,0,9.3
116,Pooja,87,86,0,8.7
117,Hari,76,69,2,6.9
118,Deepika,84,77,1,7.8
119,Manoj,89,84,0,8.6
120,Kavya,72,62,3,6.1
